구분,발생검거,중부서,미추홀서,남동서,부평서,서부서,계양서,강화서,연수서,삼산서,논현서
살인,발생,1,7,8,1,5,3,2,5,3,4
살인,검거,2,4,8,1,4,3,2,4,3,3
강도,발생,3,11,13,14,3,7,1,5,3,0
강도,검거,2,8,14,17,3,10,1,4,3,0
강간.강제추행,발생,111,253,171,98,238,112,18,124,184,61
강간.강제추행,검거,75,220,151,86,199,102,0,100,163,54
절도,발생,874,1653,894,1089,1298,737,170,1235,1110,507
절도,검거,511,1216,802,780,1057,569,96,1013,833,361
폭력,발생,1351,2298,1377,1291,2718,1293,337,1440,1567,831
폭력,검거,1096,2093,1251,1166,2246,1100,293,1295,1399,733
